day,hour,kw_returned,kw_consumed
2022-07-18,2,0,0.522
2022-07-18,3,0,0.551
2022-07-18,4,0,1.75
2022-07-18,5,0,0.485
2022-07-18,6,0.032,0.147
2022-07-18,7,0.786,0.009
2022-07-18,8,1.92,0.051
2022-07-18,9,2.701,0.059
2022-07-18,10,6.79,0
2022-07-18,11,9.478,0
2022-07-18,12,9.897,0
2022-07-18,13,8.109,0
2022-07-18,14,5.467,0
2022-07-18,15,4.589,0.54
2022-07-18,16,4.462,0.026
2022-07-18,17,2.76,0
2022-07-18,18,0.265,0.857
2022-07-18,19,0,0.324
2022-07-18,20,0,0.81
2022-07-18,21,0,0.661
2022-07-18,22,0,1.025
2022-07-18,23,0,0.493
2022-07-19,0,0,0.487
2022-07-19,1,0,0.521
2022-07-19,2,0,0.492
2022-07-19,3,0,0.508
2022-07-19,4,0,0.521
2022-07-19,5,0,0.437
2022-07-19,6,0.039,0.182
2022-07-19,7,1.563,0
2022-07-19,8,3.69,0
2022-07-19,9,6.322,0
2022-07-19,10,7.793,0
2022-07-19,11,9.614,0
2022-07-19,12,9.415,0
2022-07-19,13,9.954,0
2022-07-19,14,8.849,0
2022-07-19,15,7.534,0
2022-07-19,16,4.523,0
2022-07-19,17,1.857,0.096
2022-07-19,18,0.363,0.56
2022-07-19,19,0,0.225
2022-07-19,20,0,0.964
2022-07-19,21,0,0.814
2022-07-19,22,0,0.698
2022-07-19,23,0,0.922
2022-07-20,0,0,0.5
2022-07-20,1,0,0.485
2022-07-20,2,0,0.488
2022-07-20,3,0,0.524
2022-07-20,4,0,1.465
2022-07-20,5,0,0.533
2022-07-20,6,0.038,0.177
2022-07-20,7,1.419,0
2022-07-20,8,4.131,0
2022-07-20,9,6.153,0
2022-07-20,10,7.931,0
2022-07-20,11,8.444,0
2022-07-20,12,9.792,0
2022-07-20,13,9.109,0
2022-07-20,14,8.554,0
2022-07-20,15,7.371,0
2022-07-20,16,4.802,0
2022-07-20,17,0.239,0.675
2022-07-20,18,0,2.565
2022-07-20,19,0,5.313
2022-07-20,20,0,1.919
2022-07-20,21,0,5
2022-07-20,22,0,1.066
2022-07-20,23,0,1.661
2022-07-21,0,0,0.556
2022-07-21,1,0,0.512
2022-07-21,2,0,0.497
2022-07-21,3,0,0.517
2022-07-21,4,0,0.532
2022-07-21,5,0,0.629
2022-07-21,6,0.037,0.784
2022-07-21,7,1.195,0.028
2022-07-21,8,3.464,0
2022-07-21,9,4.014,0
2022-07-21,10,7.331,0
2022-07-21,11,3.681,0.474
2022-07-21,12,5.927,0.004
2022-07-21,13,6.135,0.036
2022-07-21,14,3.832,1.121
2022-07-21,15,3.223,0.258
2022-07-21,16,4.697,0
2022-07-21,17,0.959,0.658
2022-07-21,18,0.037,0.203
2022-07-21,19,0,2.396
2022-07-21,20,0,3.188
2022-07-21,21,0,0.809
2022-07-21,22,0,1.203
2022-07-21,23,0,0.79
2022-07-22,0,0,0.542
2022-07-22,1,0,0.483
2022-07-22,2,0,0.543
2022-07-22,3,0,0.977
2022-07-22,4,0,0.485
2022-07-22,5,0,0.485
2022-07-22,6,0.003,0.236
2022-07-22,7,1.161,0.342
2022-07-22,8,3.676,0
2022-07-22,9,5.062,0.054
2022-07-22,10,7.741,0
2022-07-22,11,7.516,0
2022-07-22,12,8.652,0
2022-07-22,13,7.731,0
2022-07-22,14,8.258,0
2022-07-22,15,4.984,0.101
2022-07-22,16,3.813,0.011
